Master Time (s),A0C0,A0C1,A0C2,A1C0,A1C1,A1C2,A1C3,A2C0,A2C1,A2C2,A2C3,estimated_weight
2.798455,3.409091,1.227273,1.181818,11.012728,5.454545,0.340000,2.636364,0.148182,0.136364,1.556364,0.181818,7.503250
2.798662,0.318182,0.249091,0.272727,5.487273,0.272727,0.296364,0.430909,0.295455,0.227273,3.261818,0.148182,3.096500
2.798798,0.296364,0.249091,0.272727,2.659091,0.272727,0.296364,0.523636,0.351818,0.124545,2.977273,0.159091,2.250250
2.847738,0.296364,0.249091,0.272727,2.863636,0.249091,0.296364,0.545455,0.148182,0.136364,3.102727,0.159091,2.287750
2.849202,0.500000,0.249091,0.272727,3.035455,0.272727,0.296364,0.636364,0.148182,0.136364,3.022727,0.148182,2.397500
2.920755,0.318182,0.249091,0.296364,1.431818,0.272727,0.296364,0.476364,0.148182,0.148182,3.159091,0.159091,1.912750
2.978695,0.500000,0.249091,0.272727,1.873636,0.272727,0.318182,0.523636,0.159091,0.148182,3.102727,0.159091,2.084250
2.978816,0.590909,0.249091,0.272727,2.727273,0.272727,0.296364,0.658182,0.181818,0.148182,3.409091,0.148182,2.462500
2.979069,0.614545,0.272727,0.272727,1.467273,0.272727,0.296364,0.658182,0.181818,0.148182,3.579091,0.159091,2.178750
3.027886,0.614545,0.249091,0.296364,1.840909,0.272727,0.296364,0.569091,0.136364,0.148182,3.659091,0.148182,2.263500
3.148096,0.636364,0.249091,0.318182,1.737273,0.249091,0.296364,0.727273,0.148182,0.148182,3.727273,0.159091,2.309000
3.206833,0.658182,0.249091,0.296364,1.737273,0.272727,0.272727,0.545455,0.272727,0.136364,3.830000,0.159091,2.318250
3.268719,0.909091,0.249091,0.318182,1.840909,0.249091,0.296364,0.500000,0.522727,0.136364,3.874545,0.159091,2.490250
3.326659,0.614545,0.249091,0.296364,2.250000,0.272727,0.272727,0.681818,0.477273,0.148182,3.863636,0.159091,2.553500
3.329858,0.523636,0.272727,0.272727,2.285455,0.296364,0.296364,0.772727,0.204545,0.148182,3.772727,0.159091,2.476250
3.334478,0.749091,0.249091,0.296364,1.399091,0.249091,0.296364,0.909091,0.318182,0.148182,3.772727,0.159091,2.350250
3.339418,0.772727,0.249091,0.296364,1.363636,0.272727,0.296364,0.954545,0.318182,0.136364,3.863636,0.159091,2.387750
3.344209,0.932727,0.249091,0.296364,2.045455,0.272727,0.296364,0.863636,0.420909,0.148182,3.897273,0.170000,2.638000
3.387494,0.887273,0.227273,0.318182,2.899091,0.272727,0.272727,0.863636,0.181818,0.148182,3.897273,0.148182,2.782000
3.391983,0.796364,0.249091,0.318182,2.931818,0.272727,0.272727,1.045455,0.148182,0.148182,1.409091,0.148182,2.128500
3.504890,0.796364,0.249091,0.272727,1.704545,0.272727,0.296364,0.636364,0.148182,0.148182,3.000000,0.148182,2.110000
3.518045,1.636364,0.272727,0.430909,2.421818,0.272727,0.296364,0.296364,0.136364,0.148182,6.000000,0.170000,3.322500
3.518179,1.818182,0.272727,0.387273,2.795455,0.249091,0.296364,0.296364,0.148182,0.136364,11.318182,0.215455,4.931750
3.518338,1.727273,0.249091,0.523636,2.590909,0.272727,0.296364,0.296364,0.136364,0.148182,27.136364,0.909091,9.428749
3.565796,1.681818,0.249091,0.569091,2.318182,0.249091,0.272727,0.296364,0.136364,0.148182,96.170914,37.829090,38.478249
3.625158,2.067273,0.227273,0.296364,2.113636,0.272727,0.296364,0.272727,0.136364,3.068182,178.329102,67.716370,70.069000
3.686150,2.158182,0.272727,0.272727,2.590909,0.272727,0.272727,13.703636,0.136364,0.148182,182.875458,52.442730,70.165245
3.703876,2.205454,0.249091,0.272727,3.272727,0.272727,0.932727,20.840000,0.136364,40.068184,171.613632,54.170910,80.859497
3.703949,2.567273,9.887273,0.272727,3.136364,0.727273,7.863636,28.478182,0.136364,40.340912,144.113647,22.613638,71.537750
3.704435,2.863636,21.205456,0.476364,3.204545,4.636364,15.612727,32.000000,0.136364,34.613636,119.500000,16.068182,68.837250
3.748621,3.727273,31.136366,0.318182,4.090909,11.385454,21.363636,33.454548,0.136364,24.750002,88.442734,6.716364,62.018497
3.807584,5.772727,41.954544,0.409091,5.010000,23.160002,26.409090,37.363640,0.148182,11.124546,52.920910,0.874545,56.415497
3.812391,6.932727,47.863636,0.500000,6.068182,33.114544,34.363636,38.387272,3.909091,6.989091,26.568184,0.215455,56.350742
3.817021,7.181818,56.318180,0.590909,10.159091,44.136368,41.385456,38.681816,4.659091,1.170909,9.772728,0.159091,58.909248
3.871401,9.794545,61.318180,0.727273,16.227272,52.430916,51.341820,35.636364,5.851819,0.466364,5.340909,0.148182,65.803001
3.930947,9.681818,67.205460,0.863636,18.850908,62.114548,57.749096,34.681820,3.318182,0.148182,4.170909,0.170000,71.212502
3.987627,10.863636,71.363640,0.887273,23.353636,68.614548,62.521824,31.136366,0.193636,0.148182,3.874545,0.170000,75.109993
4.005349,11.272728,71.545456,0.887273,24.103636,71.181816,65.794548,24.069092,0.215455,0.148182,3.659091,0.159091,75.084999
4.005845,12.590909,76.409088,0.863636,29.149092,75.432732,70.841820,17.294544,0.136364,0.148182,3.545455,0.159091,78.806999
4.048286,12.545455,76.339996,1.023636,32.318184,79.430908,75.612732,7.090909,0.136364,0.136364,4.409091,0.148182,79.527756
4.066387,13.250910,81.885452,1.500000,37.431820,87.112724,80.385452,3.430909,0.238182,0.136364,4.409091,0.159091,85.233498
4.165800,16.021818,79.454552,2.000000,42.954544,93.841812,87.567276,3.523636,0.307273,0.136364,5.022727,0.148182,91.018990
4.170308,18.772728,74.069092,3.205455,37.500004,97.203636,89.387268,4.930909,0.238182,0.136364,3.431818,0.148182,90.481499
4.174811,20.727274,52.750908,4.523636,48.545456,103.521812,94.772728,5.045455,0.148182,0.148182,2.500000,0.148182,91.528748
4.228525,24.705454,28.772728,4.976364,50.285454,102.045448,97.636368,7.000000,0.136364,0.148182,1.136364,0.159091,87.175499
4.348501,30.590908,9.430909,6.476364,48.376366,99.954536,84.978188,9.978182,0.170000,0.136364,0.409091,0.159091,79.931488
4.348750,31.841818,10.250909,6.681818,43.431816,60.909096,19.703636,11.500000,0.148182,0.136364,0.250000,0.159091,50.878502
4.353026,8.569091,13.636364,1.772727,28.600908,15.341819,1.067273,13.385454,0.136364,0.148182,0.466364,0.159091,22.903002
4.358013,6.863636,5.932727,2.363636,12.237272,9.296364,0.296364,4.636364,0.204545,0.148182,1.102727,0.159091,11.891249
4.406810,2.705455,0.249091,0.454545,4.840909,0.296364,0.272727,0.476364,0.250000,0.148182,2.306364,0.159091,3.343750
4.473853,0.318182,0.272727,0.296364,1.568182,0.272727,0.296364,0.430909,0.227273,0.136364,2.375455,0.159091,1.747250
4.474154,0.454545,0.227273,0.272727,1.772727,0.249091,0.296364,0.614545,0.261818,0.148182,3.466364,0.148182,2.175750
