Time (s),orientation_x
14.595798,229.190000
14.679103,223.810000
14.729280,217.380000
14.845764,207.120000
14.929404,188.880000
14.979660,179.940000
15.012778,174.440000
15.146843,168.750000
15.204948,170.500000
15.262922,174.310000
15.346534,179.810000
15.455518,184.380000
15.512950,189.310000
15.513975,191.120000
15.696135,192.380000
15.746977,194.560000
15.805361,195.310000
15.863058,197.000000
15.946954,200.560000
15.997407,204.750000
16.056210,210.120000
16.113717,219.060000
16.164171,227.440000
16.247863,231.250000
16.280698,232.250000
16.364393,230.310000
16.414791,223.500000
16.473445,216.000000
16.530918,206.560000
16.581239,196.310000
16.664894,187.940000
16.698264,181.810000
16.781233,178.940000
16.805733,179.310000
16.890201,178.880000
16.948193,182.120000
17.031530,187.560000
17.197811,190.750000
17.248451,197.940000
17.465424,199.560000
17.565411,205.810000
17.615823,210.120000
17.675467,214.060000
17.732144,216.750000
17.782459,220.750000
17.865747,224.500000
17.899075,229.560000
17.982449,232.310000
18.090547,241.750000
18.149515,236.940000
18.249455,228.750000
18.299857,219.750000
18.332179,208.690000
18.333652,199.560000
18.533040,193.560000
18.599619,187.190000
18.633098,184.620000
18.799855,182.940000
18.883113,184.120000
18.933589,187.380000
18.991571,189.940000
19.049971,190.500000
19.133314,190.620000
19.184121,190.120000
19.216892,189.940000
19.300532,189.120000
19.350589,188.750000
19.408455,188.750000
19.517605,189.000000
19.601026,189.250000
19.634636,188.810000
19.784439,188.690000
19.817622,188.880000
19.900848,189.560000
19.951279,190.000000
20.067911,190.120000
20.151559,195.560000
20.201577,200.500000
20.235185,205.500000
20.318104,211.440000
20.369279,218.120000
20.451490,223.500000
20.485217,228.190000
20.618682,233.060000
20.676417,238.120000
20.735211,241.620000
20.785380,246.750000
20.869086,250.190000
20.984916,253.060000
21.035533,253.310000
21.092426,252.380000
21.202943,251.310000
21.402349,250.690000
21.453168,250.500000
21.510070,250.690000
21.569283,251.060000
21.652778,251.440000
21.703607,251.440000
21.761146,251.500000
21.819729,251.250000
21.886908,251.190000
21.943435,251.000000
22.019836,250.620000
