Master Time (s),gravity_x,gravity_y,gravity_z,lin_accel_x,lin_accel_y,lin_accel_z
5.971083,,,,-1.970000,-1.760000,-5.110000
5.971204,3.690000,9.050000,-0.760000,,,
6.220856,,,,-0.440000,-9.800000,0.650000
6.220899,3.940000,8.970000,0.050000,,,
6.253903,,,,0.460000,-0.010000,1.330000
6.254070,8.180000,5.390000,0.220000,,,
6.337543,,,,2.970000,4.910000,-0.400000
6.337702,9.250000,3.240000,-0.030000,,,
6.403839,,,,0.530000,6.660000,-0.420000
6.404021,9.720000,1.240000,-0.030000,,,
6.463305,,,,-0.160000,7.050000,0.620000
6.521034,9.770000,-0.650000,-0.310000,,,
6.521424,,,,-1.560000,7.280000,0.780000
6.521543,9.770000,-0.790000,-0.200000,,,
6.572154,,,,-1.470000,7.650000,-10.600000
6.572285,9.780000,-0.550000,0.400000,,,
6.629286,,,,-4.530000,-5.900000,2.660000
6.629451,9.790000,-0.530000,0.000000,,,
6.771316,9.800000,0.120000,0.240000,,,
6.771380,,,,-0.680000,3.440000,1.150000
6.854516,,,,0.060000,1.800000,0.600000
6.854641,9.480000,2.460000,0.220000,,,
6.938121,,,,0.010000,2.180000,1.160000
6.938266,9.130000,3.550000,-0.220000,,,
7.045982,9.010000,3.820000,-0.540000,,,
7.046115,,,,-0.150000,0.980000,-0.210000
7.104233,8.960000,3.860000,-0.900000,,,
7.104799,,,,0.000000,0.300000,-0.270000
7.238422,,,,-0.080000,0.680000,-0.120000
7.238556,8.970000,3.820000,-0.980000,,,
7.271638,,,,0.010000,1.300000,0.540000
7.271839,8.860000,4.040000,-1.080000,,,
7.355318,,,,-0.600000,0.010000,0.150000
7.355411,8.840000,4.100000,-1.080000,,,
7.405295,,,,-1.400000,2.190000,-0.180000
7.405431,8.730000,4.330000,-1.050000,,,
7.488596,,,,-1.340000,-1.350000,1.940000
7.521430,8.680000,4.410000,-1.090000,,,
7.522177,,,,2.600000,-2.350000,-2.490000
7.522296,8.210000,5.280000,-0.870000,,,
7.605445,,,,6.350000,0.850000,-6.780000
7.605574,7.580000,6.180000,0.520000,,,
7.655698,7.510000,6.270000,0.570000,,,
7.655864,,,,-1.510000,-6.970000,5.140000
7.772392,,,,1.540000,0.440000,1.380000
7.772658,7.360000,6.410000,0.840000,,,
7.906256,,,,1.230000,2.600000,1.370000
7.906343,7.160000,6.490000,1.620000,,,
7.939090,,,,-2.820000,1.990000,-4.880000
7.939130,6.960000,6.610000,2.000000,,,
8.022693,,,,-4.760000,-3.960000,-4.230000
8.022817,6.780000,6.770000,2.060000,,,
8.073068,,,,-3.370000,-4.310000,-3.650000
8.073193,6.670000,6.890000,2.020000,,,
8.130883,,,,-0.550000,-2.940000,-0.760000
8.131166,6.750000,6.830000,1.950000,,,
8.188859,,,,1.340000,-0.480000,-0.050000
8.189903,6.930000,6.700000,1.740000,,,
8.272718,,,,2.650000,-0.060000,-0.770000
8.272806,7.100000,6.510000,1.800000,,,
8.323290,,,,1.080000,-0.760000,0.580000
8.323414,7.330000,6.260000,1.740000,,,
8.356405,,,,1.240000,-0.830000,-0.130000
8.380754,7.550000,6.020000,1.690000,,,
8.489881,,,,0.700000,-0.940000,0.330000
8.490012,7.700000,5.830000,1.640000,,,
8.606112,,,,-0.820000,1.330000,-1.520000
