Time (s),gravity_x,gravity_y,gravity_z
14.979891,9.640000,1.180000,1.300000
15.036930,9.710000,0.620000,1.190000
15.147064,9.640000,0.920000,1.500000
15.229858,9.270000,2.520000,1.960000
15.263116,8.900000,3.610000,1.960000
15.346758,8.600000,4.390000,1.650000
15.455773,8.370000,4.910000,1.380000
15.513239,7.940000,5.650000,1.030000
15.514250,7.820000,5.850000,0.820000
15.696705,7.790000,5.900000,0.680000
15.747166,7.710000,6.030000,0.510000
15.805487,7.640000,6.110000,0.480000
15.863241,7.540000,6.250000,0.460000
15.947160,7.090000,6.750000,0.480000
15.997533,6.620000,7.200000,0.580000
16.056428,6.190000,7.570000,0.570000
16.113865,5.060000,8.380000,0.540000
16.196717,3.830000,8.980000,0.840000
16.247903,3.610000,9.030000,1.250000
16.280915,3.910000,8.900000,1.230000
16.364626,4.990000,8.340000,1.280000
16.414877,6.140000,7.540000,1.230000
16.473404,7.810000,5.750000,1.380000
16.531274,8.800000,4.110000,1.310000
16.614478,9.380000,2.490000,1.330000
16.697893,9.600000,1.430000,1.390000
16.698553,9.650000,0.840000,1.510000
16.781486,9.560000,1.090000,1.870000
16.805941,9.460000,1.360000,2.190000
16.890241,9.380000,1.640000,2.300000
16.948321,9.120000,2.770000,2.280000
17.081657,8.870000,3.620000,2.050000
17.198275,8.600000,4.340000,1.780000
17.305601,8.250000,5.230000,0.810000
17.465299,8.180000,5.370000,0.500000
17.565188,7.940000,5.740000,-0.310000
17.615689,7.610000,6.150000,-0.540000
17.675719,7.170000,6.650000,-0.630000
17.732193,6.960000,6.860000,-0.690000
17.815119,6.600000,7.210000,-0.720000
17.866056,6.160000,7.570000,-0.850000
17.899284,5.100000,8.290000,-1.170000
17.982662,3.950000,8.880000,-1.240000
18.090387,3.660000,9.070000,-0.690000
18.149301,4.880000,8.470000,0.630000
18.249408,6.060000,7.590000,1.280000
18.300293,7.180000,6.420000,1.810000
18.333363,8.130000,5.120000,1.940000
18.333816,8.520000,4.380000,2.040000
18.533129,8.790000,3.810000,2.060000
18.599827,8.950000,3.450000,2.020000
18.633312,8.950000,3.400000,2.100000
18.799460,8.870000,3.510000,2.230000
18.883302,8.590000,4.160000,2.220000
18.933803,8.390000,4.610000,2.100000
18.991614,8.300000,4.950000,1.650000
19.050357,8.320000,4.980000,1.380000
19.133493,8.330000,5.020000,1.200000
19.184292,8.360000,5.000000,1.110000
19.217175,8.380000,4.970000,1.010000
19.300747,8.480000,4.810000,0.970000
19.350810,8.510000,4.770000,0.940000
19.408576,8.500000,4.780000,0.940000
19.550095,8.460000,4.860000,0.940000
19.633720,8.430000,4.890000,0.980000
19.635409,8.430000,4.870000,1.100000
19.784652,8.420000,4.880000,1.150000
19.817968,8.310000,5.020000,1.350000
19.901062,8.160000,5.200000,1.530000
19.951498,8.080000,5.310000,1.620000
20.068037,7.830000,5.590000,1.850000
20.151432,7.350000,5.970000,2.510000
20.201806,6.800000,6.420000,2.920000
20.259503,6.180000,6.780000,3.430000
20.318238,5.650000,7.000000,3.890000
20.369499,4.360000,7.380000,4.750000
20.484847,3.480000,7.480000,5.280000
20.534767,2.510000,7.600000,5.660000
20.618939,1.650000,7.630000,5.920000
20.676644,0.640000,7.740000,5.980000
20.735385,-0.330000,7.970000,5.690000
20.841639,-1.150000,7.870000,5.720000
20.902316,-1.560000,7.760000,5.780000
20.985615,-1.860000,7.670000,5.810000
21.092003,-1.930000,7.700000,5.750000
21.092466,-1.800000,7.730000,5.750000
21.203156,-1.800000,7.790000,5.660000
21.402609,-1.810000,7.700000,5.780000
21.453403,-1.860000,7.650000,5.840000
21.569718,-1.870000,7.650000,5.830000
21.569836,-1.870000,7.660000,5.820000
21.652736,-1.860000,7.700000,5.770000
21.736245,-1.830000,7.720000,5.750000
21.761428,-1.820000,7.750000,5.710000
21.819932,-1.800000,7.770000,5.690000
21.887164,-1.770000,7.810000,5.650000
21.943831,-1.780000,7.870000,5.560000
22.020056,-1.740000,7.880000,5.560000
