Time (s),impedance_phase_deg
41.688682,-43.298032
41.772424,-43.322440
41.834706,-43.334988
41.950497,-43.391539
42.066865,-43.412280
42.155779,-43.479831
42.272404,-43.644671
42.389038,-44.249657
42.417150,-47.856885
42.533016,-48.723541
42.678642,-48.877380
42.772990,-48.753278
42.873190,-48.637769
43.007328,-48.646020
43.084164,-48.700566
43.174001,-48.677017
43.290013,-48.677819
43.317904,-47.932630
43.434450,-45.756536
43.551483,-43.441157
43.640821,-43.277176
43.757361,-43.262738
43.874106,-43.261592
43.957501,-43.275400
44.074328,-43.331550
44.191677,-43.513063
44.224439,-45.664634
44.341181,-48.782327
44.485322,-49.139394
44.541437,-49.178642
44.691850,-49.031792
44.768478,-48.872281
44.825805,-48.686757
44.958609,-48.712254
45.092778,-48.939489
45.125697,-48.951464
45.242177,-47.082074
45.358909,-43.945703
45.442389,-43.319117
45.559104,-43.288635
45.676643,-43.270415
45.736458,-43.289552
45.852430,-43.381970
45.969522,-43.969538
46.086491,-47.668267
46.176444,-48.215041
46.293107,-46.840172
46.324731,-45.714768
46.441527,-45.409611
46.556680,-45.114136
46.643648,-44.556133
46.760400,-44.397251
46.877197,-45.045209
46.906024,-45.475902
47.077392,-45.720039
47.194710,-46.256328
47.227554,-46.877471
47.360880,-45.602296
47.477776,-43.632582
47.505877,-43.357448
47.639120,-43.313158
47.773369,-43.314648
47.844695,-43.334587
47.978090,-43.433021
48.112502,-43.755768
48.144925,-44.270399
48.261854,-47.258545
48.378513,-47.325467
48.406432,-45.858523
48.523038,-44.891829
48.696221,-43.834206
48.728928,-43.631493
48.845668,-43.500515
48.962503,-43.472498
49.045745,-43.538388
49.162709,-43.945589
49.280096,-45.540589
49.340061,-46.239196
49.456567,-46.316144
49.573606,-44.137644
49.629933,-43.300438
49.763468,-43.240622
49.896771,-43.246007
49.946757,-43.247096
50.080237,-43.243257
50.213818,-43.252023
50.313836,-43.271275
50.390831,-43.341118
50.480719,-43.472440
50.508194,-44.469559
50.624608,-46.087190
50.864350,-45.114423
50.864657,-43.939229
50.964756,-43.384606
51.098701,-43.231626
51.147948,-43.232944
51.281443,-43.247783
51.398759,-43.246408
51.478252,-43.259586
51.598471,-43.344556
51.699286,-43.421905
51.777883,-43.682487
51.865388,-45.065435
52.099026,-45.949165
52.099459,-43.653896
52.127007,-43.290755
52.243946,-43.242283
52.332508,-43.234835
52.465943,-43.233631
52.643729,-43.241997
52.643887,-43.228131
52.776686,-43.239075
52.949770,-43.231913
52.950082,-43.250419
53.066683,-43.239361
53.183428,-43.221943
53.243736,-43.247268
53.361472,-43.256263
53.477614,-43.244117
53.533751,-43.278838
53.650614,-43.299178
53.767301,-43.375438
53.827279,-43.559816
