Time (s),lin_accel_x,lin_accel_y,lin_accel_z
16.614390,1.280000,4.360000,1.410000
16.664998,-3.200000,5.990000,-0.210000
16.698391,-2.770000,7.330000,-1.850000
16.781324,0.320000,7.290000,-0.610000
16.805817,1.490000,-4.020000,-3.020000
16.890161,-2.300000,1.420000,-0.400000
16.947940,-0.390000,1.580000,0.500000
17.031394,-0.430000,0.550000,-0.710000
17.198104,-0.150000,1.810000,-0.280000
17.248503,0.180000,0.820000,-0.920000
17.465008,0.030000,0.420000,-0.020000
17.565097,-0.070000,0.180000,-0.610000
17.615780,0.080000,-0.680000,-0.570000
17.675558,-0.110000,1.500000,-1.450000
17.732280,1.230000,-0.690000,-0.700000
17.782546,6.670000,-0.160000,-0.470000
17.865844,3.810000,0.200000,1.950000
17.899160,2.280000,-2.670000,1.360000
17.982539,0.730000,2.820000,-2.510000
18.090294,2.630000,-7.730000,0.390000
18.149604,-1.400000,-2.420000,1.170000
18.249628,0.840000,0.690000,-1.690000
18.300251,0.390000,0.960000,-1.200000
18.333230,0.640000,5.050000,-2.970000
18.333698,-0.610000,5.150000,-3.150000
18.533250,-1.410000,4.350000,-2.800000
18.599702,-1.890000,3.330000,-1.510000
18.633183,-1.470000,2.110000,3.390000
18.799898,-0.430000,0.890000,-2.880000
18.882941,-0.180000,1.600000,0.800000
18.933708,-0.250000,1.030000,1.350000
18.991819,-0.130000,0.950000,-1.040000
19.050397,-0.100000,0.660000,-0.610000
19.133424,-0.090000,0.300000,-0.340000
19.184166,-0.040000,0.410000,-0.540000
19.217044,-0.110000,0.650000,-0.100000
19.300625,0.000000,-0.280000,-0.490000
19.350681,0.000000,-0.070000,-0.740000
19.408372,0.030000,-0.440000,-0.640000
19.517717,-0.080000,0.370000,-0.430000
19.601131,0.020000,0.140000,-0.800000
19.634755,-0.060000,0.270000,-0.470000
19.784527,-0.030000,-0.090000,-0.450000
19.817743,-0.190000,-0.150000,-0.280000
19.900938,-0.390000,0.840000,0.520000
19.951374,-0.110000,0.130000,0.370000
20.067504,1.010000,5.940000,0.330000
20.150817,1.680000,1.760000,1.210000
20.201675,1.410000,2.470000,0.290000
20.235332,1.380000,1.720000,0.370000
20.318278,1.290000,0.280000,1.090000
20.369366,-0.040000,0.600000,-1.450000
20.484573,-0.090000,-0.150000,-3.000000
20.508945,-0.680000,0.060000,-2.700000
20.618805,-0.220000,-2.000000,-2.060000
20.676466,-0.340000,-1.690000,-1.370000
20.735125,-1.230000,0.960000,-2.530000
20.785468,0.190000,-1.960000,-0.940000
20.869298,0.280000,-3.140000,-0.400000
20.985401,0.150000,-2.290000,-0.600000
21.035627,0.370000,0.480000,-0.770000
21.092344,0.210000,0.050000,0.460000
21.203031,-0.300000,2.060000,-0.770000
21.402484,-0.530000,-0.080000,-0.400000
21.453274,-0.120000,-0.410000,-0.570000
21.510021,-0.140000,-0.080000,-0.760000
21.569438,-0.010000,-0.210000,-0.240000
21.652432,-0.180000,0.200000,-0.550000
21.735913,0.000000,-0.550000,-0.150000
21.761241,0.010000,-0.230000,-0.290000
21.819811,-0.330000,-0.090000,-0.480000
21.887001,-0.320000,-0.270000,-0.140000
21.943999,-0.120000,0.170000,-0.230000
22.019921,-0.070000,-0.090000,-0.450000
