Time (s),A0C0,A0C1,A0C2,A1C0,A1C1,A1C2,A1C3,A2C0,A2C1,A2C2,A2C3
5.119658,0.318182,0.272727,0.272727,0.444545,0.272727,0.272727,0.318182,0.148182,0.136364,37.727272,2.102727
5.219184,0.454545,0.272727,0.296364,0.444545,0.272727,0.272727,10.114546,0.136364,0.136364,58.807270,4.545455
5.252504,0.660000,1.160000,0.272727,0.444545,1.863636,7.250909,21.272728,0.148182,0.136364,46.579090,3.681818
5.304346,1.978182,4.569091,0.296364,0.409091,9.863636,13.318183,27.227272,0.136364,20.249998,31.613638,1.352727
5.363188,3.340000,8.569091,0.318182,0.444545,20.069092,17.000000,28.250910,0.136364,5.704545,19.795454,0.602727
5.420322,3.796364,11.181819,0.432727,0.444545,30.205456,22.954546,28.818184,0.477273,0.636364,15.931817,0.477273
5.503438,5.500000,14.772727,0.636364,0.444545,37.272728,26.887274,30.478182,12.636364,0.250000,11.840910,0.170909
5.554498,5.660000,19.296364,0.727273,22.194546,46.272728,34.227272,27.978182,0.148182,0.136364,6.954545,0.159091
5.612568,8.454546,25.863636,1.500000,26.490002,57.296364,43.272732,20.136362,0.136364,0.148182,5.625454,0.148182
5.720279,11.160000,34.432728,5.660000,43.227272,71.909096,54.478184,4.681818,0.148182,0.136364,4.090909,0.159091
5.803962,24.841818,2.069091,15.954546,61.840908,77.069092,51.500000,1.705454,0.148182,0.148182,2.398182,0.148182
5.837078,8.387273,3.818182,15.090909,0.444545,7.614545,0.705455,4.296364,0.136364,0.148182,0.340909,0.170909
5.970661,1.318182,0.272727,0.272727,2.659091,0.272727,0.296364,0.363636,0.148182,0.148182,2.443636,0.148182
5.970858,0.363636,0.272727,0.272727,1.295454,0.250909,0.296364,0.296364,0.136364,0.148182,3.648182,0.159091
6.086862,0.296364,0.227273,0.272727,2.217273,0.296364,0.296364,0.296364,0.136364,0.125455,2.272727,0.159091
6.221093,0.296364,0.250909,0.272727,0.921818,0.296364,0.272727,0.318182,0.181818,0.136364,2.057273,0.159091
6.278698,0.296364,0.250909,0.272727,1.500000,0.250909,0.272727,0.272727,0.159091,0.136364,1.330000,0.148182
6.337947,0.318182,0.250909,0.250909,1.704545,0.272727,0.318182,0.272727,0.159091,0.148182,1.148182,0.159091
6.404168,0.318182,0.250909,0.272727,1.058182,0.250909,0.250909,0.296364,0.148182,0.136364,2.034545,0.148182
6.463103,0.296364,0.227273,0.272727,1.058182,0.272727,0.272727,0.296364,0.148182,0.136364,1.977273,0.148182
6.521204,0.296364,0.250909,0.272727,1.227273,0.272727,0.296364,0.272727,0.193636,0.148182,2.659091,0.148182
6.571917,0.296364,0.250909,0.296364,0.990000,0.250909,0.272727,0.296364,0.136364,0.148182,7.625455,0.148182
6.629056,0.296364,0.227273,0.272727,0.444545,0.250909,0.272727,0.296364,0.148182,0.136364,8.011818,0.159091
6.738183,0.318182,0.250909,0.250909,0.444545,0.272727,0.272727,0.296364,0.148182,0.136364,47.545452,8.102727
6.821933,0.296364,0.227273,0.272727,0.409091,0.318182,3.318182,8.454546,0.136364,34.477272,82.590912,15.931817
6.879735,1.114545,2.887273,0.296364,0.444545,5.523636,12.978181,23.523638,0.136364,19.761818,47.886368,0.148182
6.988031,12.840000,19.387272,1.569091,0.409091,31.454544,18.660000,42.954544,0.136364,0.125455,2.568182,0.159091
7.072049,16.296364,24.432728,1.681818,18.990000,35.978180,17.909090,43.432728,0.136364,0.125455,1.761818,0.159091
7.154865,16.318182,27.432726,1.590909,17.318182,35.614544,17.181818,50.909092,0.136364,0.136364,3.840909,0.148182
7.238697,16.318182,28.978184,1.454546,13.126362,34.932728,17.296364,48.796360,0.148182,0.136364,3.250000,0.159091
7.296156,17.409092,38.205456,3.681818,26.830910,46.181820,19.978182,46.954544,0.136364,0.148182,2.898182,0.159091
7.355606,16.614546,40.705456,2.909091,19.330910,46.430908,18.454546,43.818180,0.204545,0.136364,1.420000,0.148182
7.488794,3.478182,13.727272,0.272727,1.500000,1.296364,0.772727,30.454548,0.136364,0.148182,7.148182,0.148182
7.521949,0.978182,0.250909,0.250909,1.159091,0.272727,0.272727,0.478182,0.136364,0.148182,2.068182,0.159091
7.604970,0.318182,0.250909,0.250909,0.990000,0.272727,0.296364,0.272727,0.148182,0.136364,0.772727,0.148182
7.655517,0.318182,0.250909,0.272727,1.194545,0.272727,0.272727,0.296364,0.272727,0.148182,1.409091,0.148182
7.772038,0.296364,0.250909,0.250909,1.159091,0.250909,0.272727,0.272727,0.352727,0.148182,1.022727,0.159091
7.772608,0.318182,0.250909,0.272727,1.090909,0.272727,0.272727,0.296364,0.420909,0.136364,1.136364,0.148182
7.906607,0.296364,0.227273,0.272727,0.886364,0.272727,0.296364,0.296364,0.227273,0.136364,1.148182,0.159091
8.022438,0.296364,0.227273,0.272727,0.954545,0.272727,0.272727,0.272727,0.227273,0.136364,1.102727,0.159091
8.072805,0.296364,0.227273,0.272727,1.090909,0.272727,0.272727,0.318182,0.250000,0.148182,1.022727,0.148182
8.131029,0.296364,0.250909,0.272727,1.330909,0.296364,0.296364,0.296364,0.307273,0.148182,1.080000,0.148182
8.190129,0.318182,0.250909,0.272727,1.159091,0.250909,0.296364,0.296364,0.477273,0.136364,1.534545,0.159091
8.239529,0.296364,0.227273,0.250909,1.159091,0.272727,0.272727,0.296364,0.511818,0.148182,1.681818,0.148182
8.323028,0.296364,0.250909,0.296364,0.954545,0.272727,0.272727,0.272727,0.409091,0.136364,1.830000,0.148182
8.356086,0.318182,0.250909,0.272727,1.295454,0.250909,0.272727,0.296364,0.386364,0.136364,1.352727,0.159091
8.439181,0.296364,0.250909,0.250909,1.194545,0.272727,0.272727,0.272727,0.261818,0.148182,1.045455,0.159091
8.490201,0.296364,0.250909,0.272727,1.022727,0.250909,0.272727,0.296364,0.136364,0.136364,3.522727,0.159091
8.606632,0.318182,0.227273,0.250909,1.535455,0.272727,0.272727,1.454546,0.136364,0.148182,6.102727,0.159091
8.740044,0.318182,0.250909,0.272727,1.603637,0.250909,0.272727,1.160000,0.136364,0.148182,13.704546,0.148182
8.856111,0.318182,0.250909,0.296364,1.603637,0.272727,0.296364,1.205455,0.136364,0.136364,10.954545,0.159091
8.906870,0.318182,0.250909,0.272727,1.704545,0.272727,0.272727,1.341818,0.148182,0.136364,5.818182,0.148182
8.964929,0.318182,0.227273,0.296364,1.467273,0.250909,0.272727,1.272727,0.136364,0.136364,7.818182,0.148182
9.023462,0.296364,0.250909,0.272727,1.704545,0.272727,0.296364,1.272727,0.136364,0.136364,8.227273,0.159091
9.106703,0.318182,0.250909,0.272727,2.012727,0.250909,0.272727,1.705454,0.148182,0.136364,2.772727,0.148182
9.190328,0.296364,0.227273,0.272727,2.727273,0.272727,0.363636,2.023636,0.136364,0.125455,20.489090,0.159091
9.273205,0.841818,0.749091,0.272727,0.409091,3.545455,12.045454,6.614545,0.136364,0.352727,33.375454,0.239091
9.324191,1.614545,4.500000,0.272727,0.409091,10.727273,20.000002,11.614545,0.250000,3.693636,30.250000,0.170909
9.440643,3.569091,7.590909,0.296364,0.444545,18.454546,25.454546,18.681820,9.181818,5.102727,34.090912,0.159091
9.523517,4.000000,14.954546,0.500000,0.444545,33.227276,39.887272,28.181818,19.648182,2.704546,15.772728,0.159091
9.574383,4.863636,15.660000,0.909091,0.444545,36.863636,38.250912,20.727274,0.148182,0.148182,6.648181,0.148182
9.632698,7.545455,15.432728,1.863636,0.409091,38.318180,31.227272,12.478183,0.136364,0.136364,2.239091,0.148182
9.741218,17.569092,15.454546,9.181818,38.727272,43.796364,33.250908,5.023636,0.136364,0.136364,1.875455,0.159091
9.857227,34.909092,22.954546,21.954546,67.876358,55.205456,41.000000,12.932728,0.136364,0.136364,1.284546,0.148182
10.049518,39.660000,18.000000,30.909092,82.262726,46.318188,29.954546,0.272727,0.136364,0.136364,1.852727,0.148182
10.108211,18.750910,0.272727,6.136364,23.318182,5.454545,4.409091,0.590909,0.148182,0.148182,2.352727,0.148182
10.190945,3.614546,0.227273,0.523636,4.227273,0.272727,0.296364,0.478182,0.148182,0.136364,1.886364,0.148182
10.241430,0.954545,0.250909,0.272727,1.603637,0.272727,0.272727,0.272727,0.136364,0.148182,1.420000,0.159091
10.274519,0.296364,0.272727,0.272727,1.363636,0.272727,0.272727,0.272727,0.148182,0.136364,1.625455,0.148182
10.408675,0.545455,0.250909,0.272727,1.772727,0.272727,0.272727,0.296364,0.136364,0.148182,1.909091,0.148182
10.491671,0.296364,0.250909,0.272727,1.500000,0.250909,0.296364,0.272727,0.136364,0.136364,2.284546,0.148182
10.524727,0.296364,0.250909,0.272727,1.295454,0.272727,0.272727,0.272727,0.136364,0.148182,1.466364,0.159091
10.608522,0.296364,0.250909,0.272727,1.058182,0.272727,0.296364,0.272727,0.136364,0.148182,2.500000,0.159091
