Master Time (s),imag_part_kohm,impedance_change_speed_ohm_per_s,impedance_magnitude_ohm,impedance_phase_deg,real_part_kohm
16.947725,-86.860870,9195.142854,125983.657273,-43.587490,91.252787
17.097573,-87.407381,7733.089023,126807.496985,-43.574083,91.869968
17.175670,-88.886114,10882.490303,129102.674517,-43.510828,93.630974
17.231498,-90.622607,16143.760140,131844.304157,-43.420358,95.762538
17.347687,-91.158565,18814.020742,132743.193069,-43.371714,96.492857
17.497764,-91.431996,11227.925231,133334.841483,-43.293219,97.048287
17.525165,-91.465302,10045.137092,133461.628045,-43.261592,97.191073
17.642054,-91.507702,2602.317557,133476.414978,-43.280614,97.171466
17.758180,-91.328091,-684.527499,133176.389919,-43.296027,96.928482
17.848422,-90.758081,-2963.235557,132141.974145,-43.379105,96.044115
18.009453,-89.018635,-11318.725951,129437.025854,-43.451241,93.966091
18.082271,-86.362901,-22313.569221,125412.602692,-43.521772,90.938277
18.159056,-85.038362,-28878.668086,123383.448349,-43.568411,89.397720
18.265093,-84.488677,-25896.426093,122564.901945,-43.577750,88.790870
18.398766,-84.324749,-16479.528766,122319.640436,-43.581073,88.608302
18.426152,-85.005985,-5936.653373,123309.252839,-43.580443,89.326112
18.542613,-85.730004,2300.705019,124336.125126,-43.590699,90.054642
18.675902,-86.295238,9396.985381,125171.807802,-43.583766,90.670355
18.732392,-86.707210,9304.208702,125820.281722,-43.561707,91.173478
18.866139,-87.053782,6281.961370,126317.478849,-43.564171,91.530020
18.999330,-87.831937,6555.665826,127451.160070,-43.562223,92.354475
19.049285,-88.835622,8819.551791,128994.964637,-43.525324,93.530386
19.199467,-89.980203,13903.593015,130813.233626,-43.460351,94.950857
19.282801,-90.922985,16246.008194,132414.303301,-43.365927,96.262966
19.343023,-91.413808,16237.414021,133330.537433,-43.284224,97.059507
19.460319,-91.449007,9824.075465,133420.980865,-43.268410,97.150590
19.577271,-90.863906,3931.255521,132460.710927,-43.311840,96.382522
19.633295,-89.327095,-5881.650935,129985.188242,-43.409644,94.428911
19.766735,-87.304988,-22371.461073,126838.371099,-43.497020,92.009844
19.900183,-85.668422,-24174.786244,124393.630691,-43.526356,90.192554
19.933537,-84.772613,-24585.014807,123004.464316,-43.565489,89.127450
20.050268,-84.323036,-16462.289476,122313.172207,-43.582849,88.601003
20.167234,-84.013450,-8151.026684,121851.304753,-43.588579,88.258035
20.250506,-84.676748,-4174.831905,122822.887280,-43.584339,88.968028
20.367181,-85.394397,5273.988513,123845.354765,-43.592475,89.696537
20.545221,-85.988999,7448.109080,124719.875288,-43.587146,90.337917
20.545381,-86.780292,8919.077965,125903.561238,-43.571562,91.218900
20.660705,-87.837475,11781.370467,127453.969208,-43.564457,92.353085
20.777699,-89.392085,19785.207054,129936.702980,-43.469346,94.300593
20.834532,-90.876593,22738.324645,132279.814108,-43.393315,96.121766
20.951242,-91.139848,19099.166426,132755.992528,-43.355385,96.528140
21.101501,-91.362199,8504.884800,133257.103998,-43.283479,97.007238
21.180569,-91.372012,3077.931115,133311.479982,-43.267264,97.072685
21.301704,-90.891368,-609.176000,132462.531497,-43.327425,96.359128
21.384878,-89.866398,-8435.432687,130804.948295,-43.395148,95.047172
21.418232,-88.765024,-12127.743179,129078.755460,-43.446829,93.712836
21.568389,-86.375217,-21073.508029,125419.130873,-43.526699,90.935583
21.682486,-84.648843,-25807.042605,122815.061491,-43.569843,88.983778
21.735424,-83.907877,-25161.829206,121684.379537,-43.594767,88.128068
21.868779,-83.537598,-14232.760602,121135.563911,-43.600095,87.722828
22.019568,-83.256950,-5424.104963,120734.688941,-43.597345,87.436522
22.069051,-83.294219,-4585.667518,120774.783127,-43.603648,87.456397
22.169320,-84.127203,2339.628282,121997.579584,-43.596944,88.351702
22.319856,-85.261029,10187.526921,123631.677184,-43.601413,89.528479
22.369334,-86.288596,12294.092662,125166.118113,-43.582047,90.668823
22.452741,-87.302100,15008.141058,126648.635939,-43.576719,91.750860
22.569559,-88.791136,20427.439422,128895.765831,-43.539935,93.435821
22.686890,-90.089751,19388.679319,130928.152771,-43.478743,95.005357
22.746763,-90.899263,18695.687364,132292.524359,-43.401623,96.117823
22.863615,-91.228245,14439.992293,133039.124679,-43.292646,96.833961
22.953084,-91.285052,11182.322076,133156.456639,-43.278666,96.941638
23.069953,-90.596231,2805.848087,132047.526455,-43.321237,96.067020
23.186778,-89.330805,-9654.794774,129992.785596,-43.408727,94.435860
23.213912,-88.219822,-12924.044287,128293.799281,-43.443506,93.148065
23.330689,-85.944977,-21990.893478,124809.785022,-43.519996,90.503831
23.447500,-84.861312,-25097.429918,123109.998994,-43.575745,89.188730
23.537350,-84.302634,-21535.228836,122246.718455,-43.599293,88.528674
23.654201,-83.620199,-10909.732908,121247.828773,-43.603476,87.799193
23.771087,-83.604542,-6109.401121,121195.226347,-43.616940,87.741458
23.854270,-84.101463,-1269.780246,121897.026123,-43.625248,88.237345
23.970921,-85.206124,7241.939117,123516.011888,-43.617341,89.421036
24.087710,-86.001832,11405.363719,124695.132483,-43.606111,90.291534
24.120890,-87.793487,15477.388608,127376.482423,-43.570301,92.287983
24.265507,-91.198825,32803.532510,132840.775039,-43.355843,96.589056
24.382144,-92.012932,31903.508129,134231.178954,-43.273452,97.732440
24.438055,-91.558620,25669.763516,133603.471053,-43.259300,97.298030
24.571362,-91.667373,2499.103224,133779.651862,-43.252253,97.437611
24.705076,-91.824432,-116.391620,134010.003888,-43.251794,97.606121
24.755034,-91.757918,-89.403669,133894.573786,-43.259185,97.510212
24.888329,-91.744357,185.726744,133858.000392,-43.265946,97.472752
24.988638,-91.364548,-2306.438244,133261.096205,-43.283250,97.010510
25.067547,-90.546249,-4847.501596,131948.095118,-43.332123,95.977479
25.189120,-89.265052,-13387.181362,129938.454830,-43.391481,94.423263
25.334130,-88.270557,-14208.567587,128384.661938,-43.436287,93.225159
25.334299,-87.572342,-15598.375482,127303.013247,-43.464476,92.396657
25.450097,-86.072903,-17431.747951,124965.954029,-43.532887,90.597710
25.567705,-85.749984,-15670.128995,124426.285418,-43.563884,90.160084
25.655995,-86.565477,-8646.337955,125618.840261,-43.559874,91.030277
25.772670,-87.496894,6701.413809,126965.920740,-43.561822,92.003470
25.889550,-88.480445,12275.598423,128412.316545,-43.553686,93.064139
25.917508,-89.632406,14754.153279,130177.440259,-43.514667,94.404437
26.033952,-91.707722,20489.919095,133568.599081,-43.361286,97.109548
26.151289,-92.820220,23829.625629,135363.304410,-43.291615,98.527311
26.239691,-93.214412,21282.589094,136029.453629,-43.255404,99.071114
26.389936,-92.328615,3211.537071,134763.293678,-43.244804,98.166044
26.551845,-92.308487,-4094.416990,134735.347713,-43.244231,98.146611
26.551992,-92.201216,-4019.520588,134571.046638,-43.247325,98.021948
26.640189,-92.103188,-1299.910419,134403.397005,-43.257180,97.883992
26.840420,-91.790793,-2716.791746,133869.156259,-43.288750,97.444350
26.840728,-90.458701,-6693.690743,131673.480547,-43.392513,95.682438
26.957838,-89.660543,-11937.071599,130385.253590,-43.445053,94.664150
27.074075,-87.298337,-25713.144886,126641.979141,-43.577234,91.745252
27.135916,-87.462973,-22029.516820,126899.885968,-43.569041,91.944600
27.252165,-87.448876,-11219.847559,126882.900790,-43.567551,91.934567
27.369095,-88.399915,5026.693229,128281.276593,-43.559702,92.959889
27.457697,-89.400583,7784.655169,129825.848679,-43.520912,94.139719
27.574475,-89.805936,11962.732510,130605.234808,-43.441501,94.829432
27.691265,-91.656398,15313.584130,133538.679251,-43.343124,97.116855
27.718489,-93.375182,19978.109778,136223.967739,-43.271275,99.186919
27.834917,-93.130838,18897.731454,135934.801309,-43.244575,99.019782
