Time (s),impedance_magnitude_ohm
16.029759,130106.559848
16.146413,126892.645828
16.263221,125202.974799
16.347112,124259.177676
16.480135,123589.928204
16.647574,123254.321518
16.697025,123648.860587
16.797245,124426.285418
16.876130,125353.336160
16.947725,125983.657273
17.097573,126807.496985
17.175670,129102.674517
17.231498,131844.304157
17.347687,132743.193069
17.497764,133334.841483
17.525165,133461.628045
17.642054,133476.414978
17.758180,133176.389919
17.848422,132141.974145
18.009453,129437.025854
18.082271,125412.602692
18.159056,123383.448349
18.265093,122564.901945
18.398766,122319.640436
18.426152,123309.252839
18.542613,124336.125126
18.675902,125171.807802
18.732392,125820.281722
18.866139,126317.478849
18.999330,127451.160070
19.049285,128994.964637
19.199467,130813.233626
19.282801,132414.303301
19.343023,133330.537433
19.460319,133420.980865
19.577271,132460.710927
19.633295,129985.188242
19.766735,126838.371099
19.900183,124393.630691
19.933537,123004.464316
20.050268,122313.172207
20.167234,121851.304753
20.250506,122822.887280
20.367181,123845.354765
20.545221,124719.875288
20.545381,125903.561238
20.660705,127453.969208
20.777699,129936.702980
20.834532,132279.814108
20.951242,132755.992528
21.101501,133257.103998
21.180569,133311.479982
21.301704,132462.531497
21.384878,130804.948295
21.418232,129078.755460
21.568389,125419.130873
21.682486,122815.061491
21.735424,121684.379537
21.868779,121135.563911
22.019568,120734.688941
22.069051,120774.783127
22.169320,121997.579584
22.319856,123631.677184
22.369334,125166.118113
22.452741,126648.635939
22.569559,128895.765831
22.686890,130928.152771
22.746763,132292.524359
22.863615,133039.124679
22.953084,133156.456639
23.069953,132047.526455
23.186778,129992.785596
23.213912,128293.799281
23.330689,124809.785022
23.447500,123109.998994
23.537350,122246.718455
23.654201,121247.828773
23.771087,121195.226347
23.854270,121897.026123
23.970921,123516.011888
24.087710,124695.132483
24.120890,127376.482423
24.265507,132840.775039
24.382144,134231.178954
24.438055,133603.471053
24.571362,133779.651862
24.705076,134010.003888
24.755034,133894.573786
24.888329,133858.000392
24.988638,133261.096205
25.067547,131948.095118
25.189120,129938.454830
25.334130,128384.661938
25.334299,127303.013247
25.450097,124965.954029
25.567705,124426.285418
25.655995,125618.840261
25.772670,126965.920740
25.889550,128412.316545
25.917508,130177.440259
26.033952,133568.599081
26.151289,135363.304410
26.239691,136029.453629
26.389936,134763.293678
26.551845,134735.347713
26.551992,134571.046638
26.640189,134403.397005
26.840420,133869.156259
26.840728,131673.480547
26.957838,130385.253590
27.074075,126641.979141
27.135916,126899.885968
27.252165,126882.900790
27.369095,128281.276593
27.457697,129825.848679
27.574475,130605.234808
27.691265,133538.679251
27.718489,136223.967739
27.834917,135934.801309
27.969624,135196.520934
28.041663,134744.138452
28.192391,134700.509994
28.270225,134649.384543
28.341950,134396.524787
28.475968,133268.774199
28.592085,131521.343772
28.625660,129691.909439
28.742324,127800.722560
28.859178,127692.353485
28.942536,128791.842868
29.060146,129223.557981
